feature,importance
MACD_Hist,0.05127721452998888
Volatility_5,0.04545284798268406
OBV,0.04508250433840391
RSI14,0.04324178769651423
Lag_Return_3,0.041905147304839206
MACD_Signal,0.03940067180900779
Return_3,0.037305010105283504
ADX14,0.035605741986475814
MACD,0.03453904597653408
Sentiment_Mean_7,0.033277764602576594
BB_Width,0.03298716399728906
Volume_ROC,0.032703072708979875
MA5,0.032614519583545186
Body_Range,0.03218007802509481
Stoch_D,0.031226753188423363
Range,0.030489097616880782
BB_Lower,0.030075914933615305
Sentiment_Mean_3,0.029794087157944682
OC_Spread,0.02948312374034983
BB_Upper,0.029446171454598574
MA20,0.028324801393873552
HL_Spread,0.02796529102092511
Lag_Return_1,0.027440330229446006
Body,0.027274114106410202
Return_1,0.026923543893783427
Stoch_K,0.026429591912018765
Volatility_10,0.024499787309599338
MA10,0.024038304429887775
Lag_Close_1,0.023929369329871945
SentimentScore,0.023236498136562683
Lag_Close_3,0.021850649498591737
